Wavelength (nm),Normalized Intensity
1062.743345,9.29232976e-01
1062.774726,8.63638250e-01
1062.806108,7.78194318e-01
1062.837491,6.75742546e-01
1062.868877,5.60718366e-01
1062.900265,4.39107370e-01
1062.931654,3.18239022e-01
1062.963046,2.06394378e-01
1062.994439,1.12219235e-01
1063.025834,4.39558067e-02
1063.057231,8.53413389e-03
1063.088629,1.05978915e-02
1063.120030,5.15744454e-02
1063.151432,1.28929780e-01
1063.182837,2.35766960e-01
1063.214243,3.60923732e-01
1063.245651,4.89694139e-01
1063.277061,6.05236753e-01
1063.308472,6.90636389e-01
1063.339886,7.31457438e-01
1063.371301,7.18472539e-01
1063.402719,6.50094352e-01
1063.434138,5.33930431e-01
1063.465559,3.86883959e-01
1063.496982,2.33416297e-01
1063.528406,1.01901319e-01
1063.559833,1.94344347e-02
1063.591261,5.86661205e-03
1063.622692,6.81857521e-02
1063.654124,1.96654772e-01
1063.685558,3.64240823e-01
1063.716994,5.30559998e-01
1063.748431,6.50591527e-01
1063.779871,6.86904546e-01
1063.811312,6.22481462e-01
1063.842756,4.69937063e-01
1063.874201,2.72795422e-01
1063.905648,9.59861818e-02
1063.937097,5.50922662e-03
1063.968547,4.13427067e-02
1064.000000,1.93725885e-01
1064.031454,3.97960889e-01
1064.062911,5.58263945e-01
1064.094369,5.93105625e-01
1064.125829,4.77490761e-01
1064.157291,2.61944520e-01
1064.188755,6.40216153e-02
1064.220220,2.31530994e-02
1064.251688,1.41701462e-01
1064.283157,3.15857268e-01
1064.314628,3.87822850e-01
1064.346101,3.11952629e-01
1064.377576,1.74630256e-01
1064.409053,9.30962161e-02
1064.440532,1.11099838e-01
1064.472012,1.72514409e-01
1064.503494,2.12673054e-01
1064.534979,2.25073151e-01
1064.566465,2.23310528e-01
1064.597953,2.15652829e-01
1064.629442,1.83376616e-01
1064.660934,1.18470880e-01
1064.692428,6.86093767e-02
1064.723923,8.56471287e-02
1064.755420,1.79766627e-01
1064.786919,3.17243885e-01
1064.818420,4.29999045e-01
1064.849923,4.48161155e-01
1064.881428,3.52407107e-01
1064.912935,1.94008185e-01
1064.944443,5.87314770e-02
1064.975953,1.16754778e-02
1065.007466,7.23742765e-02
1065.038980,1.89288333e-01
1065.070495,3.07250572e-01
1065.102013,3.86483932e-01
1065.133533,4.09590731e-01
1065.165054,3.80555342e-01
1065.196578,3.16101920e-01
1065.228103,2.36602017e-01
1065.259630,1.60091335e-01
1065.291159,9.95803272e-02
1065.322690,6.27381928e-02
1065.354223,5.27208273e-02
1065.385757,6.90121620e-02
1065.417294,1.07828279e-01
1065.448832,1.62382048e-01
1065.480372,2.23532439e-01
1065.511914,2.81055645e-01
1065.543458,3.25358865e-01
1065.575004,3.49200429e-01
1065.606551,3.48954757e-01
1065.638101,3.25120129e-01
1065.669652,2.82009577e-01
1065.701206,2.26778754e-01
1065.732761,1.68067108e-01
1065.764318,1.14557217e-01
1065.795876,7.37098328e-02
1065.827437,5.08398112e-02
1065.859000,4.86015623e-02
1065.890564,6.68825160e-02
1065.922131,1.03050509e-01
1065.953699,1.52476460e-01
1065.985269,2.09234551e-01
1066.016841,2.66878263e-01
1066.048415,3.19196537e-01
1066.079990,3.60868665e-01
1066.111568,3.87957909e-01
1066.143147,3.98209411e-01
1066.174728,3.91144186e-01
1066.206312,3.67964602e-01
1066.237897,3.31304980e-01
1066.269484,2.84872523e-01
1066.301072,2.33028290e-01
1066.332663,1.80356283e-01
1066.364256,1.31262191e-01
1066.395850,8.96338591e-02
1066.427446,5.85845469e-02
1066.459044,4.02890963e-02
1066.490644,3.59132592e-02
1066.522246,4.56283330e-02
1066.553850,6.86973691e-02
1066.585456,1.03615610e-01
1066.617063,1.48286358e-01
1066.648672,2.00213879e-01
1066.680284,2.56696791e-01
1066.711897,3.15008250e-01
1066.743512,3.72552615e-01
1066.775129,4.26991871e-01
1066.806747,4.76338437e-01
1066.838368,5.19013973e-01
1066.869991,5.53876230e-01
1066.901615,5.80217716e-01
1066.933241,5.97741157e-01
1066.964869,6.06517242e-01
1066.996499,6.06930255e-01
1067.028131,5.99616814e-01
1067.059765,5.85402388e-01
1067.091400,5.65239413e-01
1067.123038,5.40150037e-01
1067.154677,5.11175555e-01
1067.186319,4.79333883e-01
1067.217962,4.45585628e-01
1067.249607,4.10808751e-01
1067.281254,3.75781341e-01
1067.312902,3.41171714e-01
1067.344553,3.07534800e-01
1067.376205,2.75313708e-01
1067.407860,2.44845343e-01
1067.439516,2.16368958e-01
1067.471174,1.90036676e-01
1067.502834,1.65925103e-01
1067.534496,1.44047311e-01
1067.566160,1.24364622e-01
1067.597826,1.06797747e-01
1067.629493,9.12369877e-02
1067.661162,7.75513050e-02
1067.692834,6.55961506e-02
1067.724507,5.52200514e-02
1067.756182,4.62699797e-02
1067.787859,3.85955900e-02
1067.819538,3.20524320e-02
1067.851218,2.65042624e-02
1067.882901,2.18245874e-02
1067.914585,1.78975644e-02
1067.946272,1.46183839e-02
1067.977960,1.18932470e-02
1068.009650,9.63903437e-03
1068.041342,7.78275554e-03
1068.073036,6.26084954e-03
1068.104732,5.01839685e-03
1068.136429,4.00828981e-03
1068.168129,3.19039822e-03
1068.199830,2.53075711e-03
1068.231533,2.00079627e-03
1068.263238,1.57662394e-03
1068.294945,1.23837237e-03
1068.326654,9.69608510e-04
1068.358365,7.56810039e-04
1068.390078,5.88904823e-04
1068.421792,4.56870157e-04
1068.453509,3.53387254e-04
1068.485227,2.72545898e-04
1068.516947,2.09593932e-04
1068.548669,1.60726332e-04
1068.580393,1.22908813e-04
1068.612119,9.37312688e-05
1068.643847,7.12867374e-05
1068.675577,5.40720105e-05
1068.707308,4.09064804e-05
1068.739041,3.08662120e-05
1068.770777,2.32306596e-05
1068.802514,1.74398067e-05
1068.834253,1.30598513e-05
1068.865994,9.75585562e-06
1068.897737,7.27004025e-06
1068.929481,5.40463009e-06
1068.961228,4.00835231e-06
1068.992976,2.96585052e-06
1069.024727,2.18941698e-06
1069.056479,1.61255909e-06
1069.088233,1.18501136e-06
1069.119989,8.68881613e-07
1069.151747,6.35683805e-07
1069.183507,4.64061028e-07
1069.215268,3.38043948e-07
1069.247032,2.45723001e-07
1069.278797,1.78239216e-07
1069.310565,1.29019548e-07
1069.342334,9.31992355e-08
1069.374105,6.71867021e-08
1069.405878,4.83367888e-08
1069.437653,3.47060288e-08
1069.469430,2.48698788e-08
1069.501208,1.77865948e-08
1069.532989,1.26961180e-08
1069.564771,9.04516518e-09
1069.596556,6.43187685e-09
1069.628342,4.56502005e-09
1069.660130,3.23399493e-09
1069.691920,2.28683812e-09
1069.723712,1.61413023e-09
1069.755506,1.13725077e-09
1069.787301,7.99826435e-10
1069.819099,5.61518776e-10
1069.850898,3.93521860e-10
1069.882700,2.75306447e-10
1069.914503,1.92270914e-10
1069.946308,1.34050088e-10
1069.978115,9.33003733e-11
